2.92893, 0, 2.92893
2.91333, 0.015602, 2.92893
2.8668, 0.0621316, 2.92893
2.79017, 0.138759, 2.92893
2.68483, 0.244102, 2.92893
2.55271, 0.376222, 2.92893
2.3963, 0.53263, 2.92893
2.21863, 0.710297, 2.92893
2.02326, 0.905671, 2.92893
1.81422, 1.11471, 2.92893
1.596, 1.33293, 2.92893
1.37345, 1.55549, 2.92893
1.15169, 1.77724, 2.92893
0.936025, 1.99291, 2.92893
0.731778, 2.19715, 2.92893
0.544149, 2.38478, 2.92893
0.378053, 2.55088, 2.92893
0.23795, 2.69098, 2.92893
0.12768, 2.80125, 2.92893
0.0503181, 2.87861, 2.92893
0.00804838, 2.92088, 2.92893
